title,description,points,category
Mud Monster,Get stuck in the mud with your bike (photo proof required!),2,adventure
Trẻ Trâu Style,Get a Vietnamese haircut at a local barber,3,social
Ridiculous Accessory,Buy a friend a ridiculous accessory for their bike,1,fun
Log Rider,Ride your bike over a fallen log,2,adventure
Trash Hero,Pick up trash along the route and dispose properly,2,eco
Field Worker,Help locals harvest in the fields,2,social
Good Samaritan,Give someone who ran out of petrol some of yours,1,social
Taxi Service,Give a local person a lift on your bike,1,social
Influencer Mode,Model your gear somewhere photogenic,1,fun
BBQ Master,Have a BBQ lunch plate somewhere scenic,2,food
Local Legend,Take a photo with a local person,2,social
Beer Cool,Keep your beer cold with a koozie (show us!),1,fun
Sunrise Warrior,Capture the sunrise from your campsite,3,photo
Bridge Crossing,Cross a suspension bridge with your bike,2,adventure
Animal Encounter,Take a photo with a farm animal,1,fun
Market Explorer,Buy something from a local market,1,social
Temple Visit,Visit a local temple or pagoda,2,cultural
Rain Rider,Prove you rode through the rain,2,adventure
Flat Tire Hero,Help someone fix a flat tire,2,adventure
Group Shot,Get a photo with 5+ other riders,1,social
