name,description,latitude,longitude,points,icon,category,directions_note
Start Point - Hue,Meet at the parking lot by the river,16.463700,107.590900,0,start,checkpoint,
Bắc Sơn Viewpoint,Stunning valley views - worth the climb!,16.512300,107.543200,10,viewpoint,scenic,Take the dirt road on your left after km marker 45
Mama's Kitchen,Best bánh mì in the province,16.489100,107.561800,5,food,food,Look for the blue sign
River Crossing Alpha,Shallow crossing - be careful in wet season!,16.501200,107.532100,15,water,adventure,Only cross if water is below knee height
Fuel Stop - A Lưới,Last petrol before the mountains,16.485600,107.502300,2,fuel,checkpoint,Open 6am-8pm
Hidden Waterfall,Beautiful hidden waterfall - worth the detour,16.472300,107.478900,8,photo,scenic,Park bikes and walk 200m
Checkpoint Charlie,Mountain pass checkpoint,16.458700,107.456100,5,checkpoint,checkpoint,
Danger Zone,Steep rocky descent - low gear recommended,16.445200,107.432800,10,danger,adventure,Go slow! Very steep section
Homestay Hub,Rest stop with cold drinks and snacks,16.435600,107.412300,0,accommodation,checkpoint,Ask for the iced coffee
Finish Line - Đông Sơn,Congratulations! You made it!,16.423400,107.389500,0,finish,checkpoint,Cold beer waiting for you
